Prob_RRC,Prob_MIRA_SR,Prob_RRAB,Prob_CEP,Prob_T2CEP,Prob_DSCT_SXPHE,Class,Pred,True_T_eff,Pred_T_eff,True_Radius,Pred_Radius
4444932852305860992,0.5364431,0.00868749,0.1556699,0.0042857532,0.08132228,0.21359152,RRC,RRC,7488.638,7408.625,1.856183,1.1993113
3627069713622002304,0.4841516,0.0062428,0.11147565,0.008032128,0.11259981,0.277498,RRC,RRC,7453.1987,7066.949,0.8239665,4.9521976
4685952982371446272,0.22438495,0.0180728,0.16883701,0.43912268,0.056198157,0.09338441,DSCT_SXPHE,CEP,5520.935,6115.7524,3.7149389,3.865437
1754981881200286976,0.33187473,0.055747416,0.40349102,0.0018874324,0.10891304,0.09808638,RRAB,RRAB,5580.3965,5755.409,2.8448257,3.5170643
6528529926929124480,0.10989731,0.88998914,5.96127e-06,1.5309662e-06,1.4327099e-05,9.1701164e-05,MIRA_SR,MIRA_SR,-1.0,3644.0415,-1.0,89.71103
4497956525685231488,0.51198393,0.006605476,0.19175102,0.022199057,0.11401398,0.15344653,RRAB,RRC,6143.6797,6999.9863,1.3958449,3.4638202
5281616632165633664,0.17941436,0.06155021,0.6533561,0.028017933,0.035671238,0.041990194,RRAB,RRAB,6633.598,6184.3335,-1.0,4.903527
4656995174630738432,0.19410476,0.6912078,0.055235166,0.027928904,0.014578838,0.016944572,MIRA_SR,MIRA_SR,3951.6516,3628.3667,23.294527,25.331165
4594265940312469376,0.2005,0.043036535,0.62779796,0.008469887,0.05511487,0.065080814,MIRA_SR,RRAB,5704.88,6087.965,3.1737454,3.0472078
5793577936443716224,0.2919753,0.025375927,0.547629,0.06846001,0.015368586,0.05119115,RRAB,RRAB,7183.659,7277.042,1.3962369,3.4246557
748824627480515968,0.2782664,0.0007887119,0.030021755,0.0025688887,0.16273609,0.5256182,DSCT_SXPHE,DSCT_SXPHE,-1.0,7821.5044,-1.0,0.5354142
4687638941649851520,0.23859154,0.045240194,0.5314188,0.009232644,0.034673523,0.14084329,T2CEP,RRAB,-1.0,6936.3857,-1.0,0.6409402
5845697471965948416,0.13971402,0.85575706,0.0009076166,0.00070292864,0.0010615819,0.0018568115,MIRA_SR,MIRA_SR,3621.7415,3777.8083,-1.0,96.666306
5820194368485878400,0.20338573,0.00229759,0.042262677,0.019080542,0.20016538,0.5328081,DSCT_SXPHE,DSCT_SXPHE,7313.4375,7363.0,1.2548637,7.104096
4340763437062820480,0.023996234,0.08133686,0.8729283,0.0010518058,0.008396447,0.012290296,MIRA_SR,RRAB,4711.8193,5325.827,3.9911342,1.1130137
1805456985403535488,0.15250592,0.8458274,0.00028787472,0.00020507503,0.0004437701,0.0007300292,MIRA_SR,MIRA_SR,-1.0,3361.7412,-1.0,87.53407
4655274782523451136,0.22348586,0.028019464,0.28878894,0.36065796,0.041992422,0.057055395,CEP,CEP,5306.864,5633.4746,3.8605812,6.009997
6499404065770847232,0.38641986,0.030105991,0.50406224,0.0007996832,0.020183748,0.05842851,T2CEP,RRAB,7275.7285,6839.9766,-1.0,-1.4450827
4657611764455047680,0.11779903,0.02944683,0.3009346,0.4617457,0.041452765,0.048621118,T2CEP,CEP,4813.686,4953.665,-1.0,12.30929
5262146583339752064,0.42302904,0.02248637,0.36509034,0.09042947,0.02541461,0.07355014,RRC,RRC,-1.0,6686.117,-1.0,2.0399737
5897667400889699840,0.07596535,0.9239879,1.4058959e-06,2.3700693e-06,4.0447326e-06,3.8919876e-05,RRC,MIRA_SR,-1.0,3580.0652,-1.0,109.14572
5340854405980301440,0.13784324,0.8612886,0.00012572444,0.000107348256,0.00019171769,0.00044345716,MIRA_SR,MIRA_SR,-1.0,3528.4666,-1.0,103.581436
4301512177641793024,0.1266771,0.8728895,4.9710845e-05,5.452607e-05,9.348674e-05,0.00023564284,MIRA_SR,MIRA_SR,-1.0,3434.7485,-1.0,94.35092
4552651628524139520,0.45545334,0.027627645,0.37937924,0.0014428252,0.046119098,0.08997786,RRAB,RRC,6813.3096,6644.9146,-0.9307513,-1.182703
1316066906794383360,0.15550135,0.06263799,0.61397356,0.0013484553,0.0457179,0.120820634,DSCT_SXPHE,RRAB,-1.0,6899.715,-1.0,1.8332753
2068324450096269056,0.11881525,0.88104683,1.2963108e-05,1.5049806e-05,2.3752862e-05,8.608573e-05,MIRA_SR,MIRA_SR,-1.0,3321.41,-1.0,101.14525
4690530317948478720,0.4941037,0.01954464,0.2609261,0.0990137,0.03570336,0.09070852,CEP,RRC,6363.5884,6593.867,-0.11521053,3.0922682
4308818398058990464,0.096249625,0.9007469,0.00047426403,0.00034845597,0.0014359417,0.00074474583,MIRA_SR,MIRA_SR,-1.0,3739.647,-1.0,73.925385
4210732614979817344,0.5852257,0.016658664,0.1560526,0.009254799,0.08259334,0.1502149,RRC,RRC,6981.005,6380.0186,1.023438,5.064595
5893788220810031872,0.19335264,0.17748278,0.40129638,0.03981073,0.097871736,0.090185754,CEP,RRAB,3570.9304,4350.5747,-1.0,47.812626
5944495463691022848,0.14035706,0.8586878,0.00021390854,7.049644e-05,0.000304177,0.00036663242,MIRA_SR,MIRA_SR,-1.0,3637.8809,-1.0,84.252
4658547208348596608,0.19165368,0.056777257,0.46337116,0.22134918,0.030828295,0.036020476,CEP,RRAB,5173.0923,5268.395,5.5522156,7.6909237
4687456701910913792,0.14643143,0.045617063,0.2869235,0.43816465,0.04081465,0.042048663,DSCT_SXPHE,CEP,4597.3975,4765.501,24.375668,9.135633
4656822246371349248,0.17322055,0.025055643,0.21415418,0.51241827,0.039803673,0.03534772,CEP,CEP,5207.034,5542.92,6.819731,4.9722404
2272861989707996160,0.11166008,0.22558348,0.57392293,0.008221521,0.035243135,0.04536884,RRAB,RRAB,-1.0,4320.542,-1.0,10.267939
5933240278579623808,0.09465282,0.9052509,7.741806e-06,1.0131326e-05,1.8598017e-05,5.9702666e-05,RRC,MIRA_SR,-1.0,3356.26,-1.0,103.23352
5278458594268733440,0.52293956,0.02716725,0.22142953,0.03474421,0.050582062,0.14313735,RRC,RRC,-1.0,7754.6494,-1.0,2.3725405
4629051911235872256,0.14277774,0.058843736,0.48744038,0.22305264,0.036213994,0.05167155,RRC,RRAB,-1.0,5979.1187,-1.0,7.2396936
4657640523564451968,0.4689421,0.018612694,0.2649306,0.105113484,0.046059303,0.096341796,MIRA_SR,RRC,-1.0,6110.375,-1.0,1.4313235
4000247228559876224,0.38206008,0.045935813,0.4189789,9.2345916e-05,0.0653051,0.08762767,RRAB,RRAB,6410.9785,6058.3496,0.9546881,-4.2061605
5372095688833746688,0.4595802,0.016200049,0.3419726,0.047333185,0.07996536,0.054948617,T2CEP,RRC,5092.2305,6059.6006,44.808903,7.6592627
4654596147636255872,0.20663841,0.025635723,0.31967276,0.35327983,0.03936876,0.055404656,CEP,CEP,5497.3027,5724.6816,-1.0,6.271135
5925283422135193088,0.16054513,0.83688015,0.000603956,0.00030532072,0.00077381224,0.00089160097,MIRA_SR,MIRA_SR,-1.0,3755.3123,-1.0,93.40347
4657082109111827584,0.22419885,0.010622595,0.13578361,0.45380238,0.05606188,0.11953064,CEP,CEP,5812.001,6348.9556,3.4335573,3.1469035
4655457030893475328,0.3025628,0.052238967,0.570369,0.008189906,0.027986648,0.038652677,CEP,RRAB,5402.174,5589.5703,1.4387116,5.124076
4638093916907461632,0.0710894,0.12633002,0.66742486,0.009317629,0.04323569,0.082602374,RRAB,RRAB,-1.0,6538.09,-1.0,4.712923
5998781101516434432,0.24277462,0.043238048,0.63907,0.007096921,0.040191386,0.027629096,RRC,RRAB,4835.6685,5164.248,3.3696487,6.207013
5930413670350629888,0.12927373,0.8679022,0.00041486695,0.00037430113,0.000859339,0.0011755802,RRC,MIRA_SR,-1.0,3408.366,-1.0,91.45654
5238775402867800064,0.15787667,0.81539273,0.007377152,0.004363546,0.004332391,0.010657484,MIRA_SR,MIRA_SR,-1.0,3671.5078,109.960724,59.520226
5225609988048310272,0.16904989,0.82886446,0.0005821962,0.0002573847,0.00045973973,0.000786321,MIRA_SR,MIRA_SR,-1.0,3501.4043,74.57225,82.62767
4651594274749644160,0.31554642,0.03779182,0.4526445,0.12397151,0.02627015,0.04377554,CEP,RRAB,5370.129,5907.9453,1.833086,5.551099
1877522795711579392,0.2575495,0.20115796,0.27497214,0.054498173,0.11075486,0.10106737,T2CEP,RRAB,3941.1511,4072.603,40.6592,36.27549
3692673346203482752,0.17753188,0.057799008,0.5953061,0.0014406559,0.050647024,0.117275245,RRC,RRAB,-1.0,6732.3447,-1.0,0.93565035
5027221325471970432,0.07654628,0.06270475,0.7012554,0.0004482569,0.03758943,0.12145596,RRAB,RRAB,-1.0,6823.9243,-1.0,1.6722012
5877687109954733056,0.12844345,0.87143314,1.6399432e-05,1.1051316e-05,3.7046815e-05,5.8907568e-05,MIRA_SR,MIRA_SR,-1.0,3375.7625,-1.0,88.24013
1974979898633496960,0.15200917,0.8265035,0.0023100814,0.00310085,0.0053328504,0.0107435575,MIRA_SR,MIRA_SR,3821.236,3645.8005,91.19617,75.36319
5878388529664102016,0.119178005,0.59993297,0.0022044582,0.01361717,0.08730998,0.17775741,CEP,MIRA_SR,3539.3416,4503.201,79.971664,50.457783
4651232050065121792,0.19999123,0.055604514,0.5616363,0.018336702,0.04175541,0.12267584,RRC,RRAB,-1.0,6578.823,-1.0,1.8886609
5643564972301150208,0.31898084,0.123772226,0.43228173,0.01149025,0.06313887,0.05033616,T2CEP,RRAB,4790.578,4564.822,33.961334,12.813987
5754592625669065472,0.067538574,0.0722979,0.79942364,0.00027859892,0.022574678,0.037886627,MIRA_SR,RRAB,6709.609,6285.791,-0.09377718,-0.41709757
5326976541991176704,0.14214355,0.85764873,2.5426889e-05,2.4428255e-05,4.5900753e-05,0.00011197533,MIRA_SR,MIRA_SR,-1.0,3344.6262,-1.0,90.6022
5989333891468641152,0.11527077,0.8844386,3.0313346e-05,3.3239015e-05,6.08683e-05,0.00016621476,MIRA_SR,MIRA_SR,-1.0,3290.907,-1.0,99.59531
5592385106905355008,0.23032121,0.0065613487,0.046338145,0.08230914,0.20769414,0.426776,MIRA_SR,DSCT_SXPHE,6113.332,6420.6387,0.94252825,11.811102
4657989171846411776,0.21533771,0.025864232,0.36183995,0.30284977,0.04098919,0.053119253,CEP,RRAB,5775.3975,5839.8867,-1.0,7.7337413
4679560211239868800,0.12232801,0.06621578,0.72108644,0.0014552744,0.027089851,0.06182453,RRAB,RRAB,6487.847,6178.907,-1.0,-1.2828407
6754140951217880192,0.23857445,0.6039919,0.02632814,0.02334045,0.05149472,0.05627024,RRC,MIRA_SR,3442.6958,3803.7527,36.943146,61.03202
6015425749045809024,0.6984377,0.009331914,0.1145635,0.0010972065,0.063173704,0.113396004,RRC,RRC,6989.9893,6763.207,2.003366,0.12711048
2036425453130705792,0.118044235,0.879687,0.00024109131,0.00026271067,0.0004219333,0.0013430981,MIRA_SR,MIRA_SR,3397.0154,3566.3877,-1.0,89.9904
4460844503550703488,0.53604364,0.011758,0.17961895,0.0020568708,0.07125187,0.19927062,T2CEP,RRC,-1.0,7054.0645,-1.0,0.56009054
6698590325246472448,0.261624,0.0379121,0.59485394,0.004882991,0.043667104,0.05705977,RRAB,RRAB,5708.6777,6066.898,2.495267,2.7777405
5998232960610315136,0.58442295,0.035876244,0.22526965,0.0050496855,0.06958606,0.0797955,RRC,RRC,5306.864,5912.369,3.8751056,6.100146
1994462866719961216,0.27450913,0.04321435,0.14051677,0.15651229,0.19494796,0.19029953,CEP,RRC,4139.283,4725.0913,70.007416,32.85177
1787103765510348288,0.48735365,0.004884089,0.13884151,0.016877102,0.12550849,0.2265351,RRC,RRC,6946.0645,6995.632,0.9120827,3.0991757
680257226946023168,0.23531282,0.06017281,0.5373464,0.0014620393,0.05324168,0.1124642,RRC,RRAB,-1.0,6481.1943,-1.0,-0.5000882
5803741551349189120,0.08694192,0.080035344,0.7149128,0.003581554,0.044193074,0.07033538,MIRA_SR,RRAB,5866.538,6233.6914,0.9918246,3.30235
6854455375614136576,0.37763256,0.046228956,0.48751578,0.0013651557,0.030824127,0.05643336,RRC,RRAB,6848.731,6548.3716,2.732502,-0.49670362
3539913802006789376,0.24280849,0.040290125,0.5694162,0.0018055438,0.0529932,0.09268641,RRAB,RRAB,5949.7656,6339.126,4.7049456,2.8439198
4395061581851442048,0.035237495,0.06703521,0.8513744,0.0005937463,0.014042011,0.03171714,MIRA_SR,RRAB,5485.31,5955.38,1.1129236,1.8549881
6810271569568217344,0.2255559,0.06259089,0.6789679,0.0009982788,0.012067552,0.019819539,DSCT_SXPHE,RRAB,-1.0,6461.408,-1.0,2.0977092
5939317519813478272,0.073803745,0.46151254,0.43578315,0.0013934809,0.013948734,0.0135582965,RRAB,MIRA_SR,-1.0,4616.417,-1.0,8.208615
4663628841830049536,0.050393663,0.0016890374,0.019344363,0.80728847,0.03458643,0.08669806,CEP,CEP,6762.87,6174.709,2.746149,1.5284214
5253332318353697920,0.23314708,0.011413361,0.17714116,0.35968295,0.114102155,0.10451334,RRC,CEP,4955.1377,5676.186,4.618767,14.527731
5599283683371587328,0.16734229,0.8204142,0.010003357,0.00010276587,0.00086632674,0.0012709907,MIRA_SR,MIRA_SR,-1.0,4394.047,-1.0,49.990215
511438215921873280,0.10156386,0.8971245,0.00012803984,0.00015314309,0.00029117908,0.0007392022,RRC,MIRA_SR,-1.0,3575.0654,-1.0,94.285675
4655216581471538688,0.53375214,0.018998431,0.18918973,0.07051213,0.04808136,0.13946621,RRC,RRC,-1.0,7206.582,-1.0,4.258294
4604992883131227648,0.34542277,0.027319113,0.36405906,0.16045508,0.031538807,0.07120517,RRAB,RRAB,6560.7227,6482.1006,3.9128697,3.3534071
5717550182016165248,0.39222136,0.03961549,0.47096732,0.003912584,0.0390817,0.054201476,RRAB,RRAB,5642.272,6157.6787,-0.059483528,2.2059789
4660546635866277376,0.06473989,0.0026716897,0.03309592,0.79697293,0.034191683,0.068327904,CEP,CEP,6108.969,6182.954,3.2098782,1.8466516
4561844954481405824,0.11201003,0.8877788,1.7886234e-05,2.2001494e-05,3.430908e-05,0.00013692243,MIRA_SR,MIRA_SR,-1.0,3431.0662,58.935852,101.79631
4657224972709116032,0.18164666,0.018664183,0.1976458,0.49077207,0.04538798,0.06588335,CEP,CEP,5199.958,5771.382,-1.0,4.899605
4657438110316217472,0.21864347,0.028109174,0.3016521,0.35351786,0.041861136,0.05621627,CEP,CEP,5454.7715,5564.216,5.3440294,5.740613
5693131776805862400,0.16379943,0.81477016,0.0017532838,0.003439123,0.0052301893,0.011007798,MIRA_SR,MIRA_SR,-1.0,3258.495,58.84245,76.44438
6053005093674817408,0.34665963,0.065997876,0.34885773,0.051611282,0.11067165,0.07620186,DSCT_SXPHE,RRAB,3923.7207,4424.1025,33.775288,35.436928
2774055089416083584,0.28678858,0.042765535,0.43281958,0.0010862756,0.054873135,0.18166687,DSCT_SXPHE,RRAB,-1.0,7284.8643,-1.0,1.3504872
4658303735236569088,0.18802676,0.5948645,0.03056335,0.08861551,0.035515424,0.06241448,MIRA_SR,MIRA_SR,3783.4653,4000.0305,10.828527,29.041544
3952850134144617216,0.2499209,0.039456945,0.6373995,0.00017662348,0.026318312,0.046727754,MIRA_SR,RRAB,6765.692,6271.089,0.98753834,-7.9780884
6008261365643106176,0.08708839,0.12055813,0.76561683,0.0019284865,0.013543801,0.01126427,RRAB,RRAB,4796.9146,5238.9595,6.252302,5.3267984
5537860123428416640,0.22921596,0.13478613,0.40904757,0.08214752,0.06750418,0.07729863,T2CEP,RRAB,4176.7935,4554.4844,63.52967,25.010397
5436296928693979392,0.46550733,0.01489741,0.3250917,0.04064815,0.088498905,0.065356456,CEP,RRC,5016.013,5909.0835,53.505947,12.01909
5240822075048134656,0.10717088,0.8916975,0.00021524355,0.00014461963,0.00044299825,0.00032869965,MIRA_SR,MIRA_SR,-1.0,3803.511,-1.0,73.04097
1645444925066984704,0.10648716,0.089479595,0.6657357,0.043413118,0.037205085,0.057679366,RRAB,RRAB,-1.0,6259.5635,-1.0,7.2697096
4510321530372682240,0.17437007,0.092155665,0.57883865,0.026261255,0.073355846,0.055018477,DSCT_SXPHE,RRAB,3869.193,4834.293,26.397911,22.347805
5362321438478975616,0.12238727,0.87215585,0.0004838194,0.0006963021,0.0011565371,0.0031201108,MIRA_SR,MIRA_SR,-1.0,3589.8848,40.890625,81.112366
6751593309759761792,0.6249036,0.01797401,0.21806245,0.00530095,0.04164331,0.09211571,RRC,RRC,7156.705,6991.3696,0.8104105,0.42981052
4685428309095990272,0.22551715,0.06428579,0.5938757,0.03913591,0.021305233,0.05588027,CEP,RRAB,6735.7666,5946.272,-1.0,5.6946054
4349826196013185152,0.042916927,0.090996616,0.78089255,0.001106421,0.025540035,0.058547355,RRAB,RRAB,-1.0,6226.181,-1.0,1.2989492
4288650223747334016,0.039727278,0.07875048,0.84841555,0.0025193747,0.014256238,0.016331,RRAB,RRAB,4996.686,5521.7666,6.0857534,6.0582595
1087098004059983232,0.2452176,0.001574378,0.043347996,0.006137482,0.18747155,0.51625097,T2CEP,DSCT_SXPHE,7130.76,7748.662,-1.0,2.5968409
1464785406458592256,0.2468371,0.037254006,0.65377563,0.000275442,0.021707015,0.040150918,RRC,RRAB,-1.0,6718.407,-1.0,-10.592127
697275850174605696,0.5377118,0.007851034,0.16376911,0.005498577,0.084677815,0.2004916,RRC,RRC,7611.2837,7301.292,0.8229985,2.175498
4755843400275879296,0.15316269,0.08717129,0.63321096,0.027241973,0.037996903,0.06121621,T2CEP,RRAB,-1.0,6748.8223,-1.0,3.1923687
6267468964139496576,0.53745633,0.012701917,0.29568186,0.006363464,0.06195554,0.08584087,RRC,RRC,6238.2734,6557.6865,1.2538953,3.18126
4687551118153537024,0.22331227,0.06197684,0.50187457,0.090482034,0.04923815,0.073116116,RRAB,RRAB,-1.0,6281.222,-1.0,7.281106
5212264936244291072,0.27403015,0.052197084,0.49822864,0.10025743,0.025859535,0.049427204,MIRA_SR,RRAB,-1.0,5885.9907,-1.0,4.261996
4685891512786594688,0.26549748,0.036454014,0.4347367,0.19225948,0.025577009,0.045475397,CEP,RRAB,6372.71,6206.2354,1.8939471,6.18367
4652214364992624640,0.15520458,0.020076388,0.27172774,0.46768612,0.03648054,0.048824638,CEP,CEP,5644.7866,5368.1514,4.9228153,6.965041
5959509599881690752,0.13014781,0.8675543,0.00035064947,0.00032235362,0.00065495516,0.0009699888,RRC,MIRA_SR,-1.0,3713.498,80.47653,96.75923
6052180047636094336,0.020443333,0.06853944,0.8895835,0.0009277158,0.008212956,0.012293045,RRAB,RRAB,6327.1216,5469.969,2.3519568,3.9569368
5912000973748942208,0.15382762,0.7905728,0.004803186,0.0061007356,0.016206494,0.028489148,MIRA_SR,MIRA_SR,3823.6467,3773.903,72.97067,66.89385
4685873645719214848,0.2773882,0.02090556,0.2358622,0.32661054,0.051688407,0.08754516,CEP,CEP,6301.1567,5981.8184,-0.85787773,4.039039
1241696180808694528,0.10314563,0.07340811,0.7402352,0.0002614832,0.028909558,0.054040007,RRAB,RRAB,6838.156,6529.881,1.9559188,-6.1125717
5614274807174596864,0.23593684,0.01992041,0.10541389,0.111394435,0.27064505,0.25668937,CEP,T2CEP,4807.5312,5175.1475,50.502846,21.747137
4660341473890634880,0.07837681,0.0045926105,0.040097184,0.7697549,0.037380103,0.069798395,CEP,CEP,5908.5767,6112.837,3.5895534,2.2952614
5922730459194425984,0.064662635,0.079214625,0.79555845,0.0037764814,0.023612784,0.03317504,RRAB,RRAB,6079.5444,5919.527,1.0408673,2.9143772
4349836568359321600,0.03311744,0.08070372,0.85113156,0.0023016203,0.012965805,0.019779896,RRAB,RRAB,-1.0,5738.669,-1.0,3.3598309
6036629659002427008,0.63879687,0.019321848,0.1453054,0.004346232,0.068389244,0.12384042,RRAB,RRC,6784.21,6374.8223,2.039918,6.780261
4685989880373973504,0.46701077,0.017807545,0.25493833,0.118689656,0.048146296,0.09340745,CEP,RRC,-1.0,6952.9785,-1.0,3.8057547
4527836510079521152,0.61279666,0.009850676,0.16407676,0.01319482,0.059162352,0.1409188,RRC,RRC,7264.8535,6775.6963,2.7286286,-0.17520666
4687513910877163776,0.32536605,0.028460577,0.30995497,0.22735433,0.03849016,0.07037392,CEP,RRC,6260.417,5866.0537,-0.27381754,5.9513273
4113354638248818048,0.037054088,0.07513204,0.8638888,0.0011122756,0.010825346,0.011987469,RRAB,RRAB,4835.6685,5612.143,3.2950892,4.183222
5339272036961324288,0.15636027,0.08117866,0.6464515,0.047485773,0.029032756,0.039491035,RRAB,RRAB,6002.676,5118.229,1.2751985,11.277098
5938127019301621760,0.14980628,0.8489213,0.00023940185,0.00015047424,0.00035253915,0.00053006446,RRC,MIRA_SR,-1.0,3680.0728,-1.0,96.88074
5653136461526964224,0.31711444,0.008671308,0.061148148,0.02390014,0.29299378,0.2961722,T2CEP,RRC,5676.233,6292.26,8.441235,8.312854
4655743316216282880,0.41019437,0.012880226,0.195109,0.23655769,0.047120288,0.09813839,DSCT_SXPHE,RRC,7331.157,6503.187,1.9663663,-0.504899
5903821951590649600,0.07611246,0.013374732,0.025406728,0.14923064,0.31589127,0.41998416,DSCT_SXPHE,DSCT_SXPHE,4611.2646,5396.892,27.506018,21.896164
6045964787579887744,0.15569113,0.84140426,0.0005794546,0.00036641627,0.0007525196,0.001206158,MIRA_SR,MIRA_SR,-1.0,3578.487,-1.0,91.0486
4241898340801793920,0.18982029,0.8000693,0.0021354628,0.0008326964,0.0022464178,0.0048957625,MIRA_SR,MIRA_SR,3389.6602,3104.394,-1.0,79.48166
2481548128428725248,0.049522083,0.06569081,0.7680737,0.00053355284,0.035519507,0.08066041,MIRA_SR,RRAB,-1.0,6492.6924,-1.0,4.3735294
6910539092922283776,0.20622529,0.058521003,0.6666093,0.00025327585,0.023179926,0.04521123,RRAB,RRAB,6529.7754,6226.035,1.1483498,-0.28401232
5929736581682701312,0.3099581,0.036000907,0.57047254,0.011968329,0.039500114,0.032099985,RRAB,RRAB,5472.581,5539.127,3.0665686,4.1830263
2050521363984642176,0.48550674,0.038069166,0.33400053,0.050211255,0.031427003,0.06078531,MIRA_SR,RRC,6162.537,6499.37,1.4826498,0.7205405
5811396759319824512,0.5776319,0.009772917,0.16337588,0.005108299,0.06673588,0.17737515,DSCT_SXPHE,RRC,7353.369,7501.9365,-1.0,2.6535196
1202172139405104384,0.37430906,0.02362314,0.48025993,0.0034728732,0.04439207,0.073942944,RRAB,RRAB,6496.832,6545.191,0.9847059,-1.6363821
4655486648991242624,0.1804465,0.0314137,0.28929114,0.3887392,0.049467746,0.060641702,DSCT_SXPHE,CEP,4603.7515,4862.21,11.819981,10.818544
5279434273382906112,0.3048184,0.06456557,0.51066816,0.030688545,0.029130716,0.060128648,RRAB,RRAB,-1.0,5904.712,-1.0,2.1428251
6022851919315962496,0.647709,0.01978357,0.19082694,0.0021914877,0.06009806,0.07939085,RRC,RRC,5764.083,6324.885,3.961285,5.4229383
655843949938567168,0.47244006,0.0052680075,0.13119127,0.011901568,0.12540424,0.25379488,T2CEP,RRC,6778.3896,7215.6772,-1.0,2.7571697
5834038525616805248,0.11302755,0.8856249,0.0003994998,8.669329e-05,0.0005203424,0.00034102565,MIRA_SR,MIRA_SR,-1.0,3487.0298,-1.0,83.667206
4213978888716191360,0.35782665,0.02935486,0.5007043,0.00789059,0.050587416,0.053636245,RRC,RRAB,5308.436,5933.165,3.5090852,4.667284
1125032293385256064,0.3142782,0.025990969,0.2812381,0.24512856,0.047602527,0.08576164,MIRA_SR,RRC,6343.4834,6330.8643,1.3808413,3.4875624
4688840540381309952,0.24478024,0.035434756,0.3777781,0.25684947,0.033638243,0.05151926,CEP,RRAB,5494.2104,5476.85,3.2573252,5.81059
4657555826776956800,0.26034153,0.03737457,0.53486186,0.11398812,0.0166619,0.036772035,RRC,RRAB,-1.0,6224.5576,-1.0,5.2184544
4132687630382572544,0.4960717,0.012676946,0.32436186,0.01343105,0.08770339,0.0657551,RRAB,RRC,5567.3184,6220.504,-0.33168793,4.9886236
5283508719878098176,0.2590706,0.042640444,0.6570956,0.0041888664,0.013318233,0.023686245,RRC,RRAB,-1.0,6378.506,-1.0,-3.8018208
4626391234831218304,0.34842634,0.03632743,0.30646402,0.17244652,0.047935802,0.08839994,RRC,RRC,-1.0,6004.706,-1.0,4.914361
5282831214559131520,0.21836774,0.03883547,0.43959585,0.22649756,0.028897732,0.04780562,MIRA_SR,RRAB,6070.4766,5897.667,-1.0,5.9700327
5279764921446042880,0.39850068,0.029326836,0.31121695,0.12358466,0.046534102,0.090836816,RRAB,RRC,-1.0,6720.0566,-1.0,2.573585
4659614799749866624,0.19142531,0.03707265,0.4087584,0.2667176,0.040055107,0.055970937,CEP,RRAB,5460.0874,5825.307,4.2895417,6.777018
4688977189085047552,0.21198422,0.018399794,0.1617842,0.45654574,0.059985213,0.09130087,CEP,CEP,5635.853,6105.1084,-1.0,4.886247
4126469819109086080,0.36604097,0.027492529,0.4734975,0.0031023924,0.054691926,0.07517462,RRAB,RRAB,5670.8423,6300.7646,2.399404,1.4202824
6034620468989194112,0.42416808,0.023800787,0.47253868,0.005880048,0.04106952,0.032542914,RRC,RRAB,5303.619,6154.329,4.8995757,0.8815012
5912086293285339392,0.5776364,0.0074402383,0.15178005,0.0044753514,0.07128845,0.18737945,T2CEP,RRC,6999.547,7104.323,-0.28774977,3.0518389
4521134368247120512,0.12934984,0.8698946,8.025867e-05,9.169194e-05,0.00014861838,0.00043502983,MIRA_SR,MIRA_SR,-1.0,3433.653,-1.0,103.61479
