Prob_RRAB,Prob_RRC,Prob_MIRA_SR,Prob_CEP,Prob_T2CEP,Prob_DSCT_SXPHE,Class,Pred,True_T_eff,Pred_T_eff,True_Radius,Pred_Radius
5971434799913161216,0.69542104,0.22323169,0.019551994,0.0059310705,0.038796812,0.017067337,RRAB,RRAB,6282.073,5384.3726,3.1834078,11.53333
4754054670938554368,0.32487786,0.301868,0.035942234,0.24759944,0.04507415,0.04463832,RRC,RRAB,6690.1064,6564.5225,0.28737068,5.383952
4553258249703751680,0.6373762,0.26963392,0.020966033,0.018073956,0.03431959,0.019630404,RRAB,RRAB,6206.201,6388.6387,4.7766857,6.38463
3539913802006789376,0.717948,0.21879359,0.02085324,0.0031300518,0.025470974,0.013804172,RRAB,RRAB,5937.6543,6062.859,4.940714,4.833139
4912449658905150208,0.5502586,0.29978156,0.03190402,0.0045310585,0.039450552,0.07407427,RRC,RRAB,-1.0,7229.8066,-1.0,2.9598465
2089907863352937088,0.10654403,0.0004635586,0.889929,8.381375e-05,0.0006687481,0.002310833,MIRA_SR,MIRA_SR,3423.5981,3249.275,-1.0,68.867065
6032767761885710592,0.4993304,0.39628756,0.046832588,0.0026777054,0.03256665,0.022305055,RRAB,RRAB,5589.7407,5902.3477,3.8455234,4.897757
2817958794871953152,0.031925153,0.17442769,0.053393196,0.035875347,0.27547836,0.4289002,RRC,DSCT_SXPHE,6176.885,6481.8184,-0.77196884,4.443922
4379923604541400960,0.846302,0.11064784,0.011904261,0.0025391236,0.019767094,0.008839592,RRAB,RRAB,6480.7383,5807.8687,-1.0,7.6211166
1690275106507296640,0.10510805,0.06852858,0.08889255,0.610894,0.046109576,0.080467165,RRAB,CEP,-1.0,4644.034,-1.0,8.677855
5933240278579623808,0.120119944,0.00019473214,0.8786931,2.2689492e-05,0.00019977275,0.0007696555,RRAB,MIRA_SR,-1.0,3777.489,-1.0,101.92635
5821329476799560320,0.1006568,0.6544536,0.07606085,0.004528175,0.06974406,0.09455648,RRC,RRC,6568.5903,6833.037,3.3874433,2.3863506
1414172859006836096,0.17632999,0.16433996,0.033771373,0.5070637,0.04729783,0.07119714,RRAB,CEP,6426.24,6573.694,2.4242754,9.439388
6076299660571820032,0.09426745,0.0113076335,0.8055091,0.006371478,0.030161295,0.052382965,RRAB,MIRA_SR,3416.068,3714.3367,78.73605,78.815765
874360749106165120,0.19796918,0.5962743,0.053885065,0.0044955993,0.058373388,0.08900243,RRC,RRC,-1.0,7022.621,-1.0,2.852075
5927885377716135424,0.5109145,0.31404528,0.033012845,0.030475792,0.07017459,0.041377008,RRAB,RRAB,5302.9746,5635.925,5.9677896,10.637974
4409016171117535744,0.20228006,0.5985075,0.072266534,0.0032273175,0.049944624,0.07377399,MIRA_SR,RRC,7000.509,6725.8945,-0.46313286,1.8741798
3932378082333361664,0.08111915,0.60375756,0.08830029,0.003509024,0.09949042,0.12382353,RRC,RRC,-1.0,6862.028,-1.0,1.9077892
5879434233955295488,0.11745422,0.00050863595,0.88057,3.3757417e-05,0.00035606633,0.0010772975,MIRA_SR,MIRA_SR,-1.0,3607.434,-1.0,101.1342
4685636838365449856,0.07181991,0.081968114,0.016010005,0.7337923,0.043784138,0.052625585,CEP,CEP,5561.5474,5517.025,3.5716553,10.371129
4494680840023816704,0.31430435,0.5742996,0.037267406,0.0057173553,0.030501984,0.037909314,RRAB,RRC,5563.0356,6275.92,3.9565427,2.2405462
5871226757619203712,0.10932867,0.00013874138,0.8899126,7.921098e-06,0.000114370814,0.00049764826,MIRA_SR,MIRA_SR,-1.0,3638.3882,-1.0,106.96423
3496902586459063040,0.8031436,0.14434148,0.01379259,0.0016056568,0.020584539,0.016532095,RRC,RRAB,5979.003,6680.6533,-0.86163044,2.9835548
4685928896187772800,0.2011994,0.11207872,0.044782456,0.53772503,0.03873797,0.065476455,CEP,CEP,5613.002,5839.1357,-1.0,6.366102
5270020907661338496,0.07857935,0.1075965,0.022094112,0.7078194,0.030406896,0.053503737,RRC,CEP,6903.0264,6664.151,2.7203274,3.0470934
4652188870060427136,0.22417827,0.25879204,0.050709184,0.319292,0.059774272,0.08725418,CEP,CEP,5618.425,6230.576,5.3859262,7.0103264
5874065730995702656,0.116111465,0.00071617775,0.8816147,5.715522e-05,0.00044309994,0.0010573736,MIRA_SR,MIRA_SR,-1.0,3763.2927,-1.0,99.13033
5237644447753403392,0.14000899,5.5780492e-05,0.85962635,3.3168405e-06,5.6881912e-05,0.00024871738,MIRA_SR,MIRA_SR,-1.0,3536.4978,-1.0,113.80541
4685835403286444800,0.08732178,0.08927447,0.012614494,0.73266387,0.03804703,0.040078368,CEP,CEP,-1.0,5738.2026,-1.0,10.015819
2178948617076691072,0.13455495,0.0001838223,0.8641434,1.7730385e-05,0.0003265041,0.0007736315,MIRA_SR,MIRA_SR,-1.0,3642.774,-1.0,100.55566
5836058397242981120,0.18644433,0.009222274,0.79292977,0.00075172447,0.0034266345,0.007225259,MIRA_SR,MIRA_SR,-1.0,4125.6655,-1.0,83.23873
4651966661330873600,0.022723943,0.056117013,0.010379261,0.80677783,0.038945515,0.0650565,MIRA_SR,CEP,-1.0,6675.57,-1.0,3.47321
1109791481676962944,0.27396965,0.49249864,0.06054909,0.02894702,0.072539166,0.07149642,RRC,RRC,7411.17,6784.726,2.5092902,0.5356269
2197577500841395968,0.08857417,0.10962755,0.10716095,0.43074468,0.11573442,0.14815825,RRC,CEP,5503.3867,4699.442,0.93401575,13.042507
4655484724846204288,0.035190232,0.078106165,0.009194882,0.8136505,0.029094335,0.034763906,CEP,CEP,6210.823,6196.424,0.7102213,7.7720594
2040540341023536256,0.18884489,0.0003840209,0.80998975,3.719578e-05,0.00019810269,0.00054610026,MIRA_SR,MIRA_SR,3427.6362,3844.4333,-1.0,47.773815
4649289900217294208,0.07228598,0.08228788,0.010660234,0.7675042,0.030988129,0.036273587,RRC,CEP,-1.0,5938.4766,-1.0,8.819935
4245408252487876608,0.8032577,0.12620223,0.018166913,0.0014935689,0.015645185,0.035234466,RRC,RRAB,5989.2676,6094.2285,0.6272006,5.5527854
3468998119513234048,0.01837997,0.17615688,0.052364003,0.013896259,0.2386848,0.5005181,DSCT_SXPHE,DSCT_SXPHE,-1.0,7375.1123,-1.0,0.24390507
5793922255378564480,0.024516148,0.14989765,0.04549865,0.058647916,0.22816503,0.49327472,DSCT_SXPHE,DSCT_SXPHE,7746.6045,7238.6816,1.9145546,5.198843
3716765368250634240,0.1385145,0.23964569,0.28113925,0.0732548,0.10022759,0.16721822,DSCT_SXPHE,MIRA_SR,3706.0913,4247.9727,18.22419,32.558636
2022585311840400640,0.13008893,0.0008560695,0.866344,7.1925926e-05,0.0006460879,0.0019930415,MIRA_SR,MIRA_SR,-1.0,3923.5737,-1.0,91.47345
4227497899561668096,0.095017806,0.65209544,0.093702115,0.0028858427,0.07068425,0.08561454,RRC,RRC,6873.077,6810.561,3.4854605,2.771597
5991735087427769088,0.100132324,0.00019652251,0.89885634,1.1428099e-05,0.0001473526,0.0006559133,RRAB,MIRA_SR,-1.0,3253.1838,-1.0,82.20496
5881780626163460608,0.13148282,0.0010991213,0.8635206,0.0001550955,0.0010127139,0.0027295586,MIRA_SR,MIRA_SR,-1.0,3723.7654,101.74358,98.92822
6058689366962512000,0.13551123,0.00059276767,0.86258376,2.8669565e-05,0.00030637495,0.0009772388,MIRA_SR,MIRA_SR,-1.0,3878.3389,-1.0,107.63412
1971908309828646784,0.11900964,6.8730835e-05,0.8806004,4.738589e-06,5.928065e-05,0.00025722678,RRAB,MIRA_SR,-1.0,3402.447,-1.0,69.271416
5531151040911681024,0.13562213,0.0002645646,0.86279297,2.3902476e-05,0.0003901291,0.00090630783,MIRA_SR,MIRA_SR,-1.0,3704.6172,-1.0,90.74148
6267755936675389440,0.73779464,0.16589455,0.02982433,0.004341525,0.02456038,0.03758454,RRAB,RRAB,5789.4043,6159.5664,5.513814,5.4498396
4654802821464411648,0.062419873,0.07992541,0.017134354,0.7086447,0.05956493,0.072310746,DSCT_SXPHE,CEP,4693.652,5212.8154,18.096893,13.275063
3032575978494251264,0.12853447,0.0020298595,0.858566,0.000364779,0.0034012685,0.00710362,MIRA_SR,MIRA_SR,-1.0,3003.1316,60.33837,80.67449
4548864738679160448,0.76835936,0.17299673,0.014982662,0.0025527298,0.021560173,0.019548321,RRAB,RRAB,6518.675,6775.954,2.5622997,3.2812412
3239721456603414912,0.03242869,0.39945614,0.094832875,0.009936835,0.1652608,0.2980847,T2CEP,RRC,-1.0,7379.4795,-1.0,2.6259737
4535748423950623872,0.72755116,0.1920742,0.020211156,0.0012835722,0.024380336,0.034499615,DSCT_SXPHE,RRAB,-1.0,6960.022,-1.0,2.3915439
4661357491360948736,0.010805353,0.030986868,0.0066609345,0.8524911,0.037299145,0.06175664,CEP,CEP,5310.212,5458.174,4.040557,6.6192746
5376280361370244736,0.034158055,0.45489872,0.076405644,0.0056543616,0.1715731,0.25731012,MIRA_SR,RRC,6132.4404,6860.085,-0.2506008,3.729974
1863317071138215168,0.08343825,0.0006881749,0.9134347,4.344091e-05,0.00050452683,0.0018909496,MIRA_SR,MIRA_SR,-1.0,3325.016,-1.0,80.56114
6852830194348157824,0.04013348,0.31188872,0.068864964,0.015211349,0.18717822,0.3767233,RRC,DSCT_SXPHE,7495.0283,6808.541,2.6573162,-0.059414387
4658186392448080000,0.07592017,0.08276338,0.06846388,0.6232813,0.05070459,0.09886661,DSCT_SXPHE,CEP,4927.5156,4965.814,-1.0,8.1953335
4407679714729859456,0.037778936,0.5493813,0.08248351,0.0013973216,0.123577334,0.20538154,DSCT_SXPHE,RRC,7487.847,7228.8286,2.9043593,-0.68368006
6673016195883419904,0.26588088,0.49591818,0.0638039,0.03866745,0.06989215,0.065837495,RRAB,RRC,6475.3945,6292.7603,1.6381388,3.5864594
3737521635226941312,0.09456175,0.58007425,0.08812708,0.007036418,0.079983115,0.15021734,T2CEP,RRC,-1.0,6938.3936,-1.0,1.9571991
4657273522936758656,0.061990257,0.08291772,0.010248414,0.79237235,0.02527307,0.027198272,RRC,CEP,-1.0,6377.768,-1.0,6.6455545
4685978576016773504,0.17066932,0.2207701,0.060920663,0.36847913,0.08051554,0.09864517,CEP,CEP,-1.0,5718.487,-1.0,7.1914535
2039894068707160192,0.117564276,0.0002680212,0.8787814,8.245166e-05,0.00059198414,0.002711927,RRAB,MIRA_SR,3129.103,3342.1912,-1.0,43.45002
5229998826151268096,0.18809393,0.13677396,0.013011897,0.5685109,0.050540227,0.043069106,RRAB,CEP,7244.4507,6579.7026,0.86300373,9.161581
1821663207003120256,0.22689536,0.58411324,0.08455824,0.00729632,0.0595939,0.03754292,RRC,RRC,6123.341,5552.1836,1.0130296,6.4834766
525136962570940160,0.14008674,0.14001937,0.44254142,0.055843066,0.08504398,0.13646539,CEP,MIRA_SR,3422.8616,3915.8928,70.207436,47.14481
4230721869517572224,0.63606775,0.28130013,0.02361862,0.0031596047,0.029442666,0.026411194,RRAB,RRAB,6711.3496,6988.5537,0.9760232,3.0129123
5843595682463387008,0.08806842,0.13935453,0.015378043,0.68251616,0.035521466,0.03916145,RRC,CEP,7140.626,6380.9307,1.0230317,7.227223
6436761868979026688,0.043148745,0.44421822,0.07339327,0.0074311923,0.13556863,0.29623997,T2CEP,RRC,7301.7397,7213.536,-1.2280273,2.2498245
6029890163803959808,0.80582905,0.14402866,0.014711123,0.0032360042,0.022673855,0.009521228,RRAB,RRAB,5739.9873,5954.9897,4.360613,6.016123
2267633472617587456,0.12132364,0.0002325892,0.8767313,3.1178162e-05,0.00042601256,0.0012553381,MIRA_SR,MIRA_SR,-1.0,3646.5051,-1.0,78.17795
5938127019301621760,0.10446523,0.00022528642,0.8946026,1.0724029e-05,0.00015948486,0.0005365353,RRAB,MIRA_SR,-1.0,3478.7605,-1.0,104.382164
4685891375347648768,0.065939255,0.08380675,0.041688386,0.69292086,0.040952776,0.07469201,CEP,CEP,5744.979,5352.4023,13.102137,5.1444807
4674979096042709248,0.7989301,0.11563924,0.030556787,0.01136378,0.014849947,0.02866008,RRAB,RRAB,6380.907,6558.668,-1.0,3.0693212
3463717886720126976,0.071629465,0.38600987,0.10424395,0.12347227,0.15472324,0.15992123,DSCT_SXPHE,RRC,4108.124,4494.291,4.4733524,20.951406
2100095388337818240,0.058462393,0.084143944,0.010470988,0.7938826,0.025397252,0.027642922,RRC,CEP,7237.463,6575.0527,1.3480878,7.557475
4657722776443401344,0.43852133,0.32718337,0.030123753,0.0941065,0.037848495,0.072216615,RRAB,RRAB,-1.0,7157.9204,-1.0,4.106618
4657505661564992384,0.072683394,0.07804982,0.057567444,0.67419744,0.043827362,0.07367454,DSCT_SXPHE,CEP,4870.708,4922.262,13.730024,6.028329
4689698567441882496,0.5269876,0.20350663,0.037411463,0.1347599,0.03828056,0.059053816,RRAB,RRAB,-1.0,6337.8896,-1.0,6.470369
6053374018539873536,0.10634028,7.0598144e-05,0.89330846,2.8282566e-06,5.326781e-05,0.00022441115,MIRA_SR,MIRA_SR,-1.0,3586.8635,-1.0,109.46944
3038807598079350528,0.7877473,0.14184996,0.01695444,0.00089804165,0.014326496,0.038223695,RRC,RRAB,5909.956,6443.158,3.008224,0.74441147
5339148135776385920,0.12832716,7.739346e-05,0.87114376,4.426699e-06,0.000110290195,0.00033698563,MIRA_SR,MIRA_SR,-1.0,3713.9434,-1.0,102.63074
4657120626387921536,0.118463315,0.0030308447,0.8574832,0.0030742947,0.0047260267,0.013222344,MIRA_SR,MIRA_SR,3660.4114,3588.0515,32.22847,28.727345
5302051712904842496,0.6063479,0.19105093,0.03979681,0.07523452,0.040973183,0.04659664,RRC,RRAB,5434.035,5835.7876,4.9710913,7.523221
4655009250472651392,0.25524223,0.2079346,0.045918915,0.36410043,0.047538795,0.07926508,RRAB,CEP,6692.382,6026.575,0.78598976,5.2516794
2027327922122318208,0.115453415,9.356039e-05,0.8842978,1.4884553e-06,4.2662494e-05,0.00011116188,MIRA_SR,MIRA_SR,-1.0,2689.7231,-1.0,101.56206
2103829295466223488,0.010522604,0.04091967,0.024876837,0.5231011,0.07766526,0.32291454,T2CEP,CEP,7230.841,6832.3257,-1.0,1.320632
4689554050384889088,0.6614418,0.20930165,0.028985165,0.011855685,0.035012953,0.053402774,RRAB,RRAB,-1.0,6458.1943,-1.0,7.78165
5893206063778240896,0.10675718,0.00020870051,0.89222616,9.71877e-06,0.00016212973,0.00063608645,MIRA_SR,MIRA_SR,-1.0,3129.5598,-1.0,87.85303
5250877692982717952,0.35347575,0.2460353,0.039729785,0.2257788,0.0800571,0.05492326,RRC,RRAB,4938.2734,5647.6357,8.50417,9.66082
5888811345805930112,0.14271146,0.03325562,0.65440273,0.034514096,0.046761096,0.08835503,RRC,MIRA_SR,-1.0,3788.2031,-1.0,31.519627
2006293543124013824,0.13487881,4.0103925e-05,0.86475,2.6874e-06,6.6617424e-05,0.00026173025,MIRA_SR,MIRA_SR,-1.0,3557.1208,-1.0,101.0892
4113270937931506304,0.018824417,0.18757816,0.05151943,0.01970979,0.32737306,0.3949952,MIRA_SR,DSCT_SXPHE,5689.412,5766.627,0.5286832,11.094242
4651916186896415872,0.18435653,0.17503676,0.029501123,0.5013565,0.041262638,0.06848649,RRC,CEP,-1.0,6685.793,-1.0,6.076717
4696179432573411968,0.065208085,0.14902964,0.018658515,0.6897241,0.037345793,0.040033896,RRAB,CEP,6752.281,6645.203,1.8631778,6.712845
4685726104967564544,0.47405913,0.24663495,0.027492974,0.17899191,0.0368284,0.035992634,RRC,RRAB,-1.0,7215.9136,-1.0,5.0852494
507007355862359680,0.09211024,0.0005915156,0.90436244,5.9623653e-05,0.000623938,0.0022522374,MIRA_SR,MIRA_SR,-1.0,3272.9346,-1.0,80.6257
2093781747752813056,0.03633259,0.13269246,0.022927346,0.6253246,0.06779065,0.11493242,RRC,CEP,7599.3525,6710.707,1.8611774,1.3578091
1748090172380390912,0.03632482,0.32960898,0.075394526,0.014346163,0.17196478,0.37236065,T2CEP,DSCT_SXPHE,6827.671,6863.7354,-0.88930416,0.9994588
6045761274854362624,0.7558913,0.15365657,0.040574767,0.0037172772,0.02025729,0.025902828,RRAB,RRAB,-1.0,5256.008,-1.0,4.71581
2059337213868411648,0.13200903,5.029844e-05,0.8676896,1.812932e-06,4.4090233e-05,0.00020509622,MIRA_SR,MIRA_SR,-1.0,2907.58,-1.0,77.27485
4685984588971969280,0.02383949,0.04586294,0.03513309,0.6824881,0.063136265,0.14954013,CEP,CEP,7327.136,5593.811,-0.94465065,6.0044465
6747813085704505216,0.71758455,0.20115903,0.017251609,0.016950537,0.030566955,0.016487246,RRAB,RRAB,-1.0,6203.046,-1.0,5.9112535
4687832356908117120,0.12438972,0.0029978491,0.8303747,0.0061457134,0.005836535,0.03025547,MIRA_SR,MIRA_SR,3818.6572,3801.417,13.797257,25.070923
4303202539320753152,0.1283726,0.0025406438,0.8606822,0.00032802814,0.002553877,0.00552272,RRAB,MIRA_SR,3413.1794,3446.995,-1.0,72.94921
5724508196531131648,0.16372328,0.5999677,0.06953865,0.00507809,0.06429968,0.09739261,RRC,RRC,6697.373,6673.7666,-1.0,3.6123772
1931436661187058176,0.11821053,0.0021874122,0.87376964,0.0002521199,0.0015178215,0.004062513,MIRA_SR,MIRA_SR,-1.0,3559.6404,76.50323,93.75547
4655486648991242624,0.10881348,0.1124022,0.0530872,0.4980031,0.10574545,0.12194859,DSCT_SXPHE,CEP,4591.611,4849.84,12.289898,12.386261
1972556879940204800,0.7171518,0.1753254,0.020788817,0.018605268,0.043205727,0.024922991,RRAB,RRAB,-1.0,6144.578,-1.0,10.086142
4540654341755598208,0.7489502,0.17627788,0.029335728,0.004257085,0.019403102,0.021776062,RRAB,RRAB,5537.9946,5968.9346,4.6556644,1.961339
5831020155656858752,0.55105805,0.26581088,0.026331129,0.07742258,0.053259246,0.026118133,RRC,RRAB,6430.8496,6010.144,0.45562553,6.029254
4688980693780606592,0.05950752,0.0921373,0.03672012,0.68916667,0.04397713,0.07849126,CEP,CEP,5824.4556,5548.272,2.0212054,4.4179063
4657070804756441344,0.10321638,0.06391275,0.08919841,0.60166377,0.047925882,0.09408277,CEP,CEP,4841.5654,4562.4014,3.0773892,11.426852
4687200412616159744,0.04559344,0.08815949,0.030848278,0.69267553,0.046637982,0.096085384,CEP,CEP,5859.957,5810.9927,1.5891294,5.943765
3466513665615025920,0.4636988,0.40276334,0.038105823,0.0016169565,0.039699882,0.05411531,RRC,RRAB,6954.44,7053.804,1.5521235,2.124939
1461858815742241024,0.8694484,0.087262996,0.014531902,0.001029369,0.0064159594,0.021311393,RRAB,RRAB,6753.2793,6863.202,1.6821461,0.4908967
5991864520568117120,0.14402413,0.00080932025,0.85149384,0.00012585401,0.0009543438,0.0025925022,RRAB,MIRA_SR,-1.0,3535.2573,-1.0,86.84529
4660526397967065600,0.5377439,0.30228335,0.038808286,0.025810452,0.038243484,0.0571105,RRAB,RRAB,-1.0,6899.778,-1.0,2.387846
367852026074122240,0.09981559,0.57151043,0.08857509,0.0092541035,0.10122735,0.1296174,RRC,RRC,7243.4526,7022.1406,0.97302246,2.9600382
4659431353126933120,0.093090735,0.08931091,0.04273605,0.66361785,0.042000584,0.06924391,DSCT_SXPHE,CEP,5043.246,5732.753,8.6347885,8.109075
4657229718558672512,0.0047382256,0.018218692,0.005526334,0.7864204,0.064247735,0.120848656,CEP,CEP,5783.9136,5612.1475,-1.0,8.331955
5822421944695259136,0.008599654,0.075987525,0.028032098,0.038999785,0.2843607,0.5640202,RRC,DSCT_SXPHE,5895.9746,6150.399,-1.0,7.581466
4575151239901315584,0.6033001,0.2434781,0.040328745,0.035087395,0.035062976,0.04274272,RRC,RRAB,6128.208,6179.217,-0.9701109,4.574446
4318844397940692992,0.20426919,0.36784843,0.08039811,0.111070745,0.10589337,0.13052015,RRC,RRC,5693.0664,4966.6206,2.826346,11.9162445
4651821044701829760,0.41671348,0.28880337,0.037889525,0.14656074,0.051564295,0.058468632,RRAB,RRAB,-1.0,7223.0464,-1.0,6.555268
4687198419751441152,0.018119955,0.03800364,0.030422185,0.6909565,0.059195254,0.16330244,CEP,CEP,-1.0,5822.873,-1.0,5.539584
4688826757808111360,0.04478466,0.101006635,0.03251379,0.6145026,0.07440154,0.13279071,CEP,CEP,-1.0,6098.0234,-1.0,6.5459986
153208016094829312,0.12948771,0.00030642547,0.8689535,3.0024497e-05,0.00027693665,0.00094543066,MIRA_SR,MIRA_SR,-1.0,3738.268,-1.0,107.35331
1719089251822725632,0.011627202,0.037826553,0.01713292,0.7012221,0.056922384,0.17526884,T2CEP,CEP,7493.911,6516.3193,-0.83949184,0.76159143
5938664714841009920,0.11735411,0.00038266493,0.8812981,1.826178e-05,0.00026848342,0.00067826844,MIRA_SR,MIRA_SR,-1.0,3715.7942,-1.0,110.62993
5536598365108470912,0.27155653,0.18064433,0.10750557,0.2935627,0.07263688,0.07409399,RRAB,CEP,6638.4727,5317.9814,2.1372256,8.03511
4685862100843210240,0.100578554,0.09862521,0.02558323,0.68934107,0.035200432,0.050671544,CEP,CEP,6183.7627,5899.8984,2.6451483,7.2951636
5796338024167907712,0.10277446,0.47989017,0.058706284,0.1439919,0.09830305,0.116334096,RRC,RRC,7095.7017,6976.874,2.6883216,2.3525448
