index,ID,Path,N,N_b,N_r,Class,T_eff,e_T_eff,E_T_eff,Lum,e_Lum,E_Lum,Radius,e_Rad,E_Rad,logg,e_logg,E_logg,Mass,e_Mass,E_Mass,rho,e_rho,E_rho
17130,6675343076020766720,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6675343076020766720.dat,27,14,13,RRC,7442.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22954,4685983803030717952,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4685983803030717952.dat,26,14,12,CEP,5286.9,4792.0,7020.6665,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15488,5779992271988973568,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5779992271988973568.dat,32,17,15,RRC,7145.5,7007.488,7347.5723,13.20329,-1.0,-1.0,2.3280000000000003,-1.0,-1.0,3.9136,-1.0,-1.0,1.62,-1.0,-1.0,0.1284,-1.0,-1.0
13792,5590143752447578752,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5590143752447578752.dat,28,15,13,RRC,6945.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12458,4379158378810099584,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4379158378810099584.dat,32,17,15,RRC,6867.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7396,5858560246253779456,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5858560246253779456.dat,32,16,16,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14102,4974501357829414528,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4974501357829414528.dat,54,28,26,RRC,7597.27,7263.733,7864.0,5.14663,-1.0,-1.0,1.44,-1.0,-1.0,4.3336,-1.0,-1.0,1.63,-1.0,-1.0,0.546,-1.0,-1.0
1607,1594520940947376000,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/1594520940947376000.dat,26,13,13,DSCT_SXPHE,-1.0,-1.0,-1.0,3.62071,-1.0,-1.0,1.057,-1.0,-1.0,4.6527,-1.0,-1.0,1.83,-1.0,-1.0,1.5516,-1.0,-1.0
15851,1212007820670788480,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/1212007820670788480.dat,24,12,12,RRC,7677.0,7216.0,8243.333,11.17401,-1.0,-1.0,2.051,-1.0,-1.0,4.0393,-1.0,-1.0,1.68,-1.0,-1.0,0.1946,-1.0,-1.0
17429,5556621567063291136,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5556621567063291136.dat,28,14,14,RRC,7284.0,6978.0,7873.75,3.54641,-1.0,-1.0,1.256,-1.0,-1.0,4.433,-1.0,-1.0,1.56,-1.0,-1.0,0.7869,-1.0,-1.0
5783,4658878122670828032,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4658878122670828032.dat,46,23,23,RRAB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14622,1292842781674277888,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/1292842781674277888.dat,49,25,24,RRC,7392.6196,7150.033,7910.0,5.829,-1.0,-1.0,1.609,-1.0,-1.0,4.218,-1.0,-1.0,1.56,-1.0,-1.0,0.3744,-1.0,-1.0
20851,4658898742819023232,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4658898742819023232.dat,70,36,34,CEP,6020.4,5632.0,6751.5,-1.0,-1.0,-1.0,6.482,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13715,5836499056461743232,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5836499056461743232.dat,44,22,22,RRC,5215.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7789,5998344457964541952,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5998344457964541952.dat,50,25,25,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1274,5398815023973987072,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5398815023973987072.dat,46,23,23,DSCT_SXPHE,6818.6665,6660.51,7025.5864,1.30052,-1.0,-1.0,0.77,-1.0,-1.0,4.8553,-1.0,-1.0,1.55,-1.0,-1.0,3.394,-1.0,-1.0
4869,5849333934903832192,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5849333934903832192.dat,37,18,19,RRAB,4815.3735,4566.3335,5062.0,14.20103,-1.0,-1.0,3.454,-1.0,-1.0,3.4106,-1.0,-1.0,1.12,-1.0,-1.0,0.0272,-1.0,-1.0
21886,4687428316464363904,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4687428316464363904.dat,28,13,15,CEP,6192.0,5951.0,7052.6665,7.976389999999999,-1.0,-1.0,2.092,-1.0,-1.0,3.9494,-1.0,-1.0,1.42,-1.0,-1.0,0.1552,-1.0,-1.0
2757,1708235732027146240,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/1708235732027146240.dat,25,13,12,DSCT_SXPHE,7405.75,7225.25,7540.3223,7.244063000000001,6.2565126,8.231613000000001,1.6349545,1.5771171,1.7176631999999998,4.2246,-1.0,-1.0,1.63,-1.0,-1.0,0.3747,-1.0,-1.0
18652,5822892088997481472,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5822892088997481472.dat,54,27,27,T2CEP,4324.875,4068.6165,4497.7974,3.378744,3.0103176,3.7471702000000007,3.2740338,3.027126,3.6994467,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8772,5825405675675679488,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5825405675675679488.dat,35,18,17,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18311,4685985104368130944,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4685985104368130944.dat,24,12,12,T2CEP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15963,607421934590479872,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/607421934590479872.dat,24,12,12,RRC,7756.0,7491.3335,7936.6665,4.67177,-1.0,-1.0,1.285,-1.0,-1.0,4.4556,-1.0,-1.0,1.72,-1.0,-1.0,0.81,-1.0,-1.0
11817,2073451163599953408,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/2073451163599953408.dat,30,15,15,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9077,6008574589021523456,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6008574589021523456.dat,33,17,16,MIRA_SR,3783.27,3544.4333,4099.8003,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6591,4655556635538755200,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4655556635538755200.dat,25,13,12,RRAB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5435,6348249872973863296,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6348249872973863296.dat,27,14,13,RRAB,6251.0,5831.0,7149.5,5.69515,-1.0,-1.0,1.815,-1.0,-1.0,4.0632,-1.0,-1.0,1.39,-1.0,-1.0,0.2324,-1.0,-1.0
10989,5939009789690841472,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5939009789690841472.dat,24,12,12,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4992,5266252881316290304,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5266252881316290304.dat,30,16,14,RRAB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16421,6879662573035425280,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6879662573035425280.dat,35,17,18,RRC,7110.0,-1.0,-1.0,3.27917,-1.0,-1.0,1.193,-1.0,-1.0,4.4831,-1.0,-1.0,1.58,-1.0,-1.0,0.9295,-1.0,-1.0
21468,4685899995287923072,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4685899995287923072.dat,26,13,13,CEP,6237.0,5817.3335,7071.5,28.66453,-1.0,-1.0,4.249,-1.0,-1.0,3.302,-1.0,-1.0,1.32,-1.0,-1.0,0.0172,-1.0,-1.0
21471,5352181712213705856,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5352181712213705856.dat,27,14,13,CEP,4332.0,4206.24,4557.3804,-1.0,-1.0,-1.0,68.85755999999999,62.215412,73.036575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3482,5949106952910386560,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5949106952910386560.dat,32,16,16,RRAB,5661.6665,5343.0,6000.0,-1.0,-1.0,-1.0,5.113,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1984,5632308687640536064,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5632308687640536064.dat,28,14,14,DSCT_SXPHE,7556.0,7184.6665,8123.0,23.00553,17.761387,28.249672,2.7988837,2.4217865,3.0956762,3.701,-1.0,-1.0,1.61,-1.0,-1.0,0.0618,-1.0,-1.0
4809,4576246460868023808,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4576246460868023808.dat,46,24,22,RRAB,6481.7,6190.5,7060.465,13.62442,-1.0,-1.0,2.749,-1.0,-1.0,3.7119,-1.0,-1.0,1.42,-1.0,-1.0,0.0683,-1.0,-1.0
10542,4523362219311214336,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4523362219311214336.dat,22,11,11,MIRA_SR,3423.5,3336.3333,3600.295,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15874,1821232434656240896,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/1821232434656240896.dat,37,18,19,RRC,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2883,5418632415399973888,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5418632415399973888.dat,45,23,22,DSCT_SXPHE,7064.3335,6859.0,7492.6665,4.0188,-1.0,-1.0,1.175,-1.0,-1.0,4.5387,-1.0,-1.0,1.74,-1.0,-1.0,1.0732,-1.0,-1.0
20170,4659442829279910272,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4659442829279910272.dat,28,14,14,CEP,5345.696999999999,5120.5947,5553.4004,-1.0,-1.0,-1.0,5.292000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5120,6078933540665840000,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6078933540665840000.dat,65,34,31,RRAB,6143.0,-1.0,-1.0,0.99851,-1.0,-1.0,0.882,-1.0,-1.0,4.6114,-1.0,-1.0,1.16,-1.0,-1.0,1.6895,-1.0,-1.0
18562,2899501261545453696,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/2899501261545453696.dat,39,20,19,T2CEP,4357.355,4258.0,4752.06,2.6915467,2.64656,2.7365334,2.878775,2.4204144,3.0146873,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24895,4685961400510382080,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4685961400510382080.dat,29,15,14,CEP,6669.0,6156.25,7282.0,9.17326,-1.0,-1.0,1.919,-1.0,-1.0,4.084,-1.0,-1.0,1.63,-1.0,-1.0,0.2306,-1.0,-1.0
11085,1933999279194641024,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/1933999279194641024.dat,45,23,22,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18191,4655044610959363328,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4655044610959363328.dat,29,15,14,T2CEP,5347.3335,5313.75,5369.5,-1.0,-1.0,-1.0,15.314,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22450,4659443035438337664,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4659443035438337664.dat,29,15,14,CEP,5940.0,5788.3335,6252.72,34.57635,-1.0,-1.0,4.919,-1.0,-1.0,3.1478,-1.0,-1.0,1.24,-1.0,-1.0,0.0104,-1.0,-1.0
19128,4651847501732449280,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4651847501732449280.dat,30,15,15,CEP,6970.0,6167.0,7886.6665,10.54727,-1.0,-1.0,1.945,-1.0,-1.0,4.0931,-1.0,-1.0,1.71,-1.0,-1.0,0.2323,-1.0,-1.0
4058,2247529070005715584,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/2247529070005715584.dat,49,25,24,RRAB,6329.0,-1.0,-1.0,1.61507,-1.0,-1.0,1.057,-1.0,-1.0,4.4868,-1.0,-1.0,1.25,-1.0,-1.0,1.0585,-1.0,-1.0
14896,2047583159705968896,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/2047583159705968896.dat,31,16,15,RRC,5657.77,5512.0,5890.0,25.9664,-1.0,-1.0,3.4730000000000003,-1.0,-1.0,3.5443,-1.0,-1.0,1.54,-1.0,-1.0,0.0368,-1.0,-1.0
11643,5358478129945625856,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5358478129945625856.dat,40,20,20,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7416,5934092090880346368,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5934092090880346368.dat,31,15,16,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24791,4661541174168075264,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4661541174168075264.dat,25,13,12,CEP,5862.0,5692.75,6043.3335,17.20859,-1.0,-1.0,2.863,-1.0,-1.0,3.7063,-1.0,-1.0,1.52,-1.0,-1.0,0.0648,-1.0,-1.0
4447,3929074702727271296,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/3929074702727271296.dat,54,27,27,RRAB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23129,4688862904247286912,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4688862904247286912.dat,25,13,12,CEP,7328.0,-1.0,-1.0,4.299980000000001,-1.0,-1.0,1.287,-1.0,-1.0,4.4394,-1.0,-1.0,1.66,-1.0,-1.0,0.7796,-1.0,-1.0
18991,4661718955778893312,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4661718955778893312.dat,27,14,13,T2CEP,4942.3726,4831.92,5066.0,-1.0,-1.0,-1.0,34.142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13237,6786113920420842880,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6786113920420842880.dat,23,12,11,RRC,7632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4941,4579653813037976448,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4579653813037976448.dat,38,19,19,RRAB,5810.0,5602.0,6011.5,16.81822,-1.0,-1.0,3.355,-1.0,-1.0,3.494,-1.0,-1.0,1.28,-1.0,-1.0,0.0339,-1.0,-1.0
843,5945576210574704768,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5945576210574704768.dat,38,18,20,DSCT_SXPHE,7287.0,-1.0,-1.0,1.34725,-1.0,-1.0,0.728,-1.0,-1.0,4.931,-1.0,-1.0,1.65,-1.0,-1.0,4.2722,-1.0,-1.0
12711,5265130829696842240,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5265130829696842240.dat,25,13,12,RRC,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19409,5355057622305532928,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5355057622305532928.dat,37,18,19,CEP,5466.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23420,4657992500577599232,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4657992500577599232.dat,24,12,12,CEP,5873.0,5400.0,6501.0,88.06753,-1.0,-1.0,4.597,-1.0,-1.0,3.4185,-1.0,-1.0,-1.0,-1.0,-1.0,0.0208,-1.0,-1.0
6179,6442313436327414912,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6442313436327414912.dat,30,15,15,RRAB,6540.0,-1.0,-1.0,3.41459,-1.0,-1.0,1.439,-1.0,-1.0,4.2521,-1.0,-1.0,1.35,-1.0,-1.0,0.4527,-1.0,-1.0
23244,4652111732431873664,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4652111732431873664.dat,28,15,13,CEP,5255.5,5051.4526,5746.39,41.87976,-1.0,-1.0,4.468999999999999,-1.0,-1.0,3.3195,-1.0,-1.0,1.52,-1.0,-1.0,0.017,-1.0,-1.0
8375,4507780215418502016,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4507780215418502016.dat,49,26,23,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13393,5860482914102773504,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5860482914102773504.dat,33,17,16,RRC,4774.24,4563.46,5000.25,33.50529,-1.0,-1.0,4.695,-1.0,-1.0,3.2054,-1.0,-1.0,1.29,-1.0,-1.0,0.0125,-1.0,-1.0
11275,5239844952782832384,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5239844952782832384.dat,24,12,12,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14823,4665706158572169088,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4665706158572169088.dat,23,11,12,RRC,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8273,5887051925396452736,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5887051925396452736.dat,28,14,14,MIRA_SR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21737,4662015033657226752,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4662015033657226752.dat,80,40,40,CEP,5484.245,5384.0,5614.6104,16.71004,-1.0,-1.0,3.893,-1.0,-1.0,3.2910000000000004,-1.0,-1.0,1.08,-1.0,-1.0,0.0183,-1.0,-1.0
1666,1078984329801409664,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/1078984329801409664.dat,28,14,14,DSCT_SXPHE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15693,5913559054751953024,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5913559054751953024.dat,23,12,11,RRC,7343.0,7099.0,7744.0,66.36561999999999,-1.0,-1.0,4.981,-1.0,-1.0,3.2688,-1.0,-1.0,1.68,-1.0,-1.0,0.0136,-1.0,-1.0
2062,4597110411254325376,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4597110411254325376.dat,29,15,14,DSCT_SXPHE,7496.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12436,3030271608282861696,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/3030271608282861696.dat,26,14,12,RRC,6804.0,-1.0,-1.0,5.812819999999999,-1.0,-1.0,1.735,-1.0,-1.0,4.1238,-1.0,-1.0,1.46,-1.0,-1.0,0.2795,-1.0,-1.0
